texts,destination
โทรศัพท์หน่ะค่ะโดนตัด ไม่สะดวกไปชำระที่ศูนย์ ชำระที่เซเว่นแล้ว จะขอเปิดสัญญาณก่อนได้ไหมค่ะ,billing and payment
อยากสอบถามค่าใช้จ่ายหมายเลขนี้ครับ,billing and payment
ถูกระงับสัญญาณ แต่ชำระค่าบริการที่ เซเว้นมาแล้ว ไม่ทราบว่าเมื่อไหร่พี่จะใช่โทราศัพท์ได้ค่ะ,billing and payment
อยากสอบถามว่ายอดที่ค้างชำระ ไม่ทราบว่าทาง TM ตัดไปรึยังครับ,billing and payment
ซื้อบัตรเติมเงินมา พอเติมเงินแล้วใช้ไมได้,billing and payment
โทรศัพท์รับ เอ็มเอ็มเอส ไม่ได้เลยคะ,billing and payment
ผมอยากให้เปลี่ยนที่อยู่ได้ไหมครับ,billing and payment
พี่ค่ะ ขอเปิดสัญญาณหน่อยค่ะ,billing and payment
รบกวนเช็คสถานะเบอร์โทรศัพท์ให้หน่อยค่ะ,billing and payment
จะโทรมาให้เปิดสัญญาณชั่วคราวครับ,billing and payment
